n,m,k,degree,avg_clustering,diameter,average_path_length
400,160,20,163.303,0.5,0,1.9
200,9,5,43.125,0.464,0,2.1
600,10,1,8.7,0.336,0,2.69
1000,10,1,8.71,0.332,0,2.63
300,10,5,45.547,0.433,0,2.32
500,64,5,46.998,0.419,0,2.39
100,160,1,8.485,0.35,0,2.14
300,9,20,153.996,0.522,0,1.75
800,64,1,8.618,0.334,0,2.46
600,160,1,8.74,0.329,0,2.51
1000,160,20,177.064,0.455,0,2.3
400,9,1,8.698,0.343,0,2.51
1000,160,1,8.544,0.332,0,2.95
100,10,5,41.7,0.495,0,1.98
700,64,5,47.84,0.414,0,2.33
500,160,1,8.595,0.343,0,2.75
400,10,1,8.494,0.346,0,2.47
200,64,1,8.527,0.343,0,2.51
100,9,1,8.415,0.368,0,2.54
900,10,5,47.558,0.417,0,2.56
800,160,1,8.665,0.339,0,2.78
200,160,1,8.44,0.353,0,2.51
100,9,20,114.825,0.683,3,1.43
900,64,5,46.909,0.409,0,2.48
300,160,1,8.45,0.348,0,2.43
400,160,1,8.635,0.337,0,2.56
300,160,20,158.251,0.532,0,1.85
700,10,5,46.43,0.423,0,2.36
900,160,1,8.784,0.338,0,2.69
100,64,5,40.835,0.5,0,1.69
300,9,5,45.872,0.44,0,2.19
400,64,1,8.884,0.342,0,2.85
200,10,1,8.587,0.356,0,2.66
500,9,20,167.355,0.492,0,2.0
800,10,1,8.691,0.334,0,2.8
800,160,20,173.644,0.471,0,2.24
500,9,1,8.729,0.33,0,2.58
600,64,1,8.628,0.34,0,2.13
700,160,1,8.77,0.334,0,2.83
700,160,20,173.252,0.47,0,2.1
300,64,5,44.978,0.439,0,2.24
1000,64,1,8.691,0.333,0,2.53
500,10,5,46.909,0.427,0,2.41
400,64,5,45.633,0.427,0,2.29
300,160,5,45.916,0.452,0,2.25
200,10,5,43.955,0.441,0,2.12
900,64,1,8.691,0.335,0,2.69
900,64,20,175.655,0.457,0,2.18
200,9,20,143.502,0.575,0,1.67
500,10,20,166.803,0.479,0,1.93
200,10,20,142.918,0.571,0,1.66
800,10,20,174.915,0.466,0,2.2
300,9,1,8.628,0.344,0,2.54
900,160,5,48.139,0.419,0,2.54
300,64,20,155.293,0.518,0,1.8
400,64,20,160.974,0.494,0,1.92
700,10,1,8.703,0.334,0,2.4
100,64,1,8.52,0.371,0,2.56
100,160,20,111.555,0.683,3,1.47
400,160,5,45.793,0.441,0,2.3
1000,10,20,177.529,0.454,0,2.23
300,64,1,8.803,0.341,0,2.72
1000,64,5,47.218,0.406,0,2.47
500,10,1,8.673,0.339,0,2.52
500,160,20,166.867,0.487,0,2.01
700,64,20,173.197,0.469,0,2.15
800,10,5,46.7,0.418,0,2.48
100,10,20,115.515,0.689,2.75,1.43
600,10,20,169.892,0.485,0,2.13
700,160,5,47.14,0.422,0,2.5
500,9,5,46.209,0.423,0,2.25
600,64,5,46.39,0.42,0,2.33
600,64,20,169.574,0.474,0,2.11
900,160,20,175.778,0.465,0,2.23
600,10,5,46.487,0.413,0,2.42
200,9,1,8.662,0.356,0,2.49
600,160,20,168.424,0.488,0,2.12
800,64,5,47.257,0.406,0,2.48
600,160,5,46.864,0.413,0,2.34
100,160,5,41.41,0.506,0,1.82
500,64,1,8.788,0.346,0,2.62
300,10,1,8.764,0.342,0,2.79
1000,10,5,47.243,0.407,0,2.52
700,10,20,172.458,0.471,0,2.15
100,64,20,113.57,0.688,3,1.44
1000,160,5,46.312,0.434,0,2.55
400,10,20,161.983,0.495,0,1.9
200,160,5,44.555,0.465,0,2.02
500,160,5,46.919,0.424,0,2.35
700,64,1,8.732,0.333,0,2.3
800,64,20,174.787,0.465,0,2.25
100,10,1,8.205,0.367,0,2.5
800,160,5,46.927,0.4,0,2.48
900,10,1,8.688,0.329,0,2.56
100,9,5,40.77,0.514,0,1.77
200,64,5,44.33,0.462,0,2.25
200,64,20,143.1,0.565,0,1.6
400,10,5,46.002,0.428,0,2.3
200,160,20,142.345,0.565,4,1.68
1000,64,20,176.555,0.459,0,2.27
900,10,20,176.153,0.466,0,2.25
500,64,20,166.372,0.48,0,2.0
400,9,20,163.511,0.492,0,1.94
300,10,20,156.147,0.52,0,1.83
400,9,5,46.401,0.419,0,2.26
